Numero de reglas,Reglas aplicadas,Max Depth,Min Samples Split,Accuracy,Precision,Recall,F1 Score,Media,Tiempo de ejecucion
0,Ninguna,5,2,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.16355085372924805
0,Ninguna,5,5,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.14733266830444336
0,Ninguna,5,10,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.12408757209777832
0,Ninguna,10,2,0.9782790309106099,0.6855971896955504,0.806196213425129,0.97185,0.8604806085078223,0.18509697914123535
0,Ninguna,10,5,0.9799163179916318,0.6855971896955504,0.8067516362383741,0.97195,0.8610537859813892,0.18985271453857422
0,Ninguna,10,10,0.9782971619365609,0.6861826697892272,0.8066070199587061,0.9719,0.8607467129211235,0.17920327186584473
0,Ninguna,15,2,0.9140445126630852,0.6973067915690867,0.7910993025572899,0.96855,0.8427501516973654,0.265596866607666
0,Ninguna,15,5,0.9183359013867488,0.6978922716627635,0.7930805056553559,0.9689,0.844552169676217,0.2720186710357666
0,Ninguna,15,10,0.922007722007722,0.6990632318501171,0.7952047952047953,0.96925,0.8463814372656586,0.21541285514831543
1,regla_imputacion_avanzada,5,2,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.11881637573242188
1,regla_imputacion_avanzada,5,5,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.12749195098876953
1,regla_imputacion_avanzada,5,10,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.11099958419799805
1,regla_imputacion_avanzada,10,2,0.9799163179916318,0.6855971896955504,0.8067516362383741,0.97195,0.8610537859813892,0.17158293724060059
1,regla_imputacion_avanzada,10,5,0.9798994974874372,0.6850117096018735,0.8063404548587181,0.9719,0.8607879154870071,0.16293883323669434
1,regla_imputacion_avanzada,10,10,0.9782790309106099,0.6855971896955504,0.806196213425129,0.97185,0.8604806085078223,0.28622865676879883
1,regla_imputacion_avanzada,15,2,0.9168591224018475,0.6973067915690867,0.7921516461589624,0.96875,0.8437668900324742,0.3213083744049072
1,regla_imputacion_avanzada,15,5,0.9218266253869969,0.6973067915690867,0.794,0.9691,0.8455583542390209,0.266465425491333
1,regla_imputacion_avanzada,15,10,0.9218870843000774,0.6978922716627635,0.7944018660446518,0.96915,0.8458328055018731,0.20882201194763184
1,regla_normalizacion_datos,5,2,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.11000204086303711
1,regla_normalizacion_datos,5,5,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.1269996166229248
1,regla_normalizacion_datos,5,10,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.12101435661315918
1,regla_normalizacion_datos,10,2,0.9798994974874372,0.6850117096018735,0.8063404548587181,0.9719,0.8607879154870071,0.1901237964630127
1,regla_normalizacion_datos,10,5,0.9798994974874372,0.6850117096018735,0.8063404548587181,0.9719,0.8607879154870071,0.24399995803833008
1,regla_normalizacion_datos,10,10,0.9766472060050042,0.6855971896955504,0.8056415548675611,0.97175,0.8599089876420289,0.18900632858276367
1,regla_normalizacion_datos,15,2,0.9189814814814815,0.6973067915690867,0.7929427430093209,0.9689,0.8445327540149723,0.296184778213501
1,regla_normalizacion_datos,15,5,0.9261275272161742,0.6973067915690867,0.7955911823647295,0.9694,0.8471063752874977,0.2046051025390625
1,regla_normalizacion_datos,15,10,0.9283489096573209,0.6978922716627635,0.7967914438502673,0.9696,0.848158156292588,0.19698023796081543
1,regla_balanceo_clases,5,2,0.370918487197557,0.9244730679156908,0.5294216261525566,0.85965,0.671115795316451,0.27765655517578125
1,regla_balanceo_clases,5,5,0.370918487197557,0.9244730679156908,0.5294216261525566,0.85965,0.671115795316451,0.29288506507873535
1,regla_balanceo_clases,5,10,0.370918487197557,0.9244730679156908,0.5294216261525566,0.85965,0.671115795316451,0.2629997730255127
1,regla_balanceo_clases,10,2,0.45213911972914744,0.8600702576112412,0.5926971958846077,0.89905,0.7009891433062491,0.34349489212036133
1,regla_balanceo_clases,10,5,0.45213911972914744,0.8600702576112412,0.5926971958846077,0.89905,0.7009891433062491,0.36095261573791504
1,regla_balanceo_clases,10,10,0.45213911972914744,0.8600702576112412,0.5926971958846077,0.89905,0.7009891433062491,0.3953535556793213
1,regla_balanceo_clases,15,2,0.5421875,0.8126463700234192,0.6504217432052484,0.9254,0.7326639033071669,0.5610713958740234
1,regla_balanceo_clases,15,5,0.5445622300745976,0.8120608899297423,0.6519388954171563,0.92595,0.7336280038553742,0.4862194061279297
1,regla_balanceo_clases,15,10,0.5445272655943507,0.8126463700234192,0.65210241954428,0.92595,0.7338065137905125,0.41547369956970215
1,regla_penalizacion_clase_desbalanceada,5,2,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.13321161270141602
1,regla_penalizacion_clase_desbalanceada,5,5,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.11815261840820312
1,regla_penalizacion_clase_desbalanceada,5,10,1.0,0.6738875878220141,0.8051766351871283,0.97215,0.8628035557522856,0.11300039291381836
1,regla_penalizacion_clase_desbalanceada,10,2,0.9782971619365609,0.6861826697892272,0.8066070199587061,0.9719,0.8607467129211235,0.17099285125732422
1,regla_penalizacion_clase_desbalanceada,10,5,0.9798994974874372,0.6850117096018735,0.8063404548587181,0.9719,0.8607879154870071,0.17357206344604492
